protein target,smiles count
Q9NYA1_SPHK1,1
P13807_GYS1,1
P23416_GLRA2,1
Q9UHC3_ASIC3,1
Q9UKR3_KLK13,1
P06865_HEXA,1
Q32MK0_MYLK3,1
P30305_CDC25B,1
Q9NS40_KCNH7,1
P21796_VDAC1,1
O14730_RIOK3,1
Q15031_LARS2,1
Q9NSD7_RXFP3,1
Q7RTT9_SLC29A4,1
Q14573_ITPR3,1
Q9NP87_POLM,1
P26583_HMGB2,1
P61073_CXCR4,1
P40429_RPL13A,1
P35913_PDE6B,1
P15313_ATP6V1B1,1
P51788_CLCN2,1
P07948_LYN,1
P57764_GSDMD,1
Q9NQV7_PRDM9,1
P53582_METAP1,1
O60939_SCN2B,1
P50583_NUDT2,1
P14060_HSD3B1,1
Q9NWZ3_IRAK4,1
Q5VWZ2_LYPLAL1,1
P46093_GPR4,1
Q86W56_PARG,1
Q9UNK4_PLA2G2D,1
P14735_IDE,1
P19429_TNNC1,1
Q86WV6_STING1,1
P16389_KCNA2,1
Q9UHC9_NPC1L1,1
P62136_PPP1CA,1
Q12852_MAP3K12,1
P40145_ADCY8,1
P01137_TGFB1,1
Q99527_GPER1,1
P55786_NPEPPS,1
Q99755_PIP5K1A,1
Q01844_EWSR1,1
P62140_PPP1CB,1
O00141_SGK1,1
P36639_NUDT1,1
P53611_RABGGTB,1
P30274_CCNA2,1
P09871_C1S,1
Q9GZQ4_NMUR2,1
P16109_SELP,1
P01854_IGHE,1
Q9UL54_TAOK2,1
P37058_HSD17B3,1
Q96AD5_PNPLA2,1
Q9NYY3_PLK2,1
Q13057_PPAT,1
Q969V1_MCHR2,1
Q15743_GPR68,1
